"DateTime";"Tsa Uittredetemperatuur [Warmtapwater bwdl Geel] [°C]"
"2023-05-04 00:00:00";57,63
"2023-05-04 00:01:00";57,63
"2023-05-04 00:02:00";57,63
"2023-05-04 00:03:00";57,47
"2023-05-04 00:04:00";57,63
"2023-05-04 00:05:00";57,47
"2023-05-04 00:06:00";57,63
"2023-05-04 00:07:00";57,8
"2023-05-04 00:08:00";57,47
"2023-05-04 00:09:00";57,63
"2023-05-04 00:10:00";57,47
"2023-05-04 00:11:00";57,63
"2023-05-04 00:12:00";57,31
"2023-05-04 00:13:00";57,47
"2023-05-04 00:14:00";57,63
"2023-05-04 00:15:00";57,15
"2023-05-04 00:16:00";57,8
"2023-05-04 00:17:00";57,31
"2023-05-04 00:18:00";57,63
"2023-05-04 00:19:00";57,47
"2023-05-04 00:20:00";57,47
"2023-05-04 00:21:00";57,31
"2023-05-04 00:22:00";57,47
"2023-05-04 00:23:00";57,63
"2023-05-04 00:24:00";57,31
"2023-05-04 00:25:00";57,47
"2023-05-04 00:26:00";57,47
"2023-05-04 00:27:00";57,15
"2023-05-04 00:28:00";57,47
"2023-05-04 00:29:00";57,31
"2023-05-04 00:30:00";57,31
"2023-05-04 00:31:00";57,31
"2023-05-04 00:32:00";57,31
"2023-05-04 00:33:00";57,31
"2023-05-04 00:34:00";57,31
"2023-05-04 00:35:00";57,31
"2023-05-04 00:36:00";57,15
"2023-05-04 00:37:00";57,31
"2023-05-04 00:38:00";57,31
"2023-05-04 00:39:00";57,31
"2023-05-04 00:40:00";57,47
"2023-05-04 00:41:00";57,31
"2023-05-04 00:42:00";56,99
"2023-05-04 00:43:00";57,31
"2023-05-04 00:44:00";57,15
"2023-05-04 00:45:00";56,99
"2023-05-04 00:46:00";57,31
"2023-05-04 00:47:00";57,47
"2023-05-04 00:48:00";56,99
"2023-05-04 00:49:00";57,15
"2023-05-04 00:50:00";57,31
"2023-05-04 00:51:00";57,15
"2023-05-04 00:52:00";57,15
